pracownik_w_projekcie_id|pracownik_id|projekt_id
162|4951|31
163|4673|32
164|3042|32
165|2413|33
166|4094|33
167|7166|33
168|655|33
169|179|34
170|2610|34
171|9888|34
172|6267|34
173|2346|34
174|2595|34
175|1751|34
176|300|34
177|8211|34
178|6360|34
179|8815|35
180|1738|35
181|7338|35
182|7633|35
183|7678|36
184|9974|36
185|3096|36
186|9324|36
187|909|36
188|8403|36
189|1265|37
190|1047|37
191|7634|37
192|5004|37
193|4825|37
194|4404|37
195|1203|37
196|2877|37
197|7340|37
198|4522|37
199|527|38
200|7860|38
201|2990|38
202|2955|38
203|8662|39
204|4601|40
205|6070|41
206|7030|41
207|8545|41
208|7851|41
209|8713|41
210|9585|41
211|9798|41
212|8354|41
213|4298|41
214|2020|42
215|9711|42
216|9093|42
217|9592|42
218|5760|42
219|4686|43
220|9621|43
221|561|43
222|6262|43
223|8323|43
224|1996|43
225|634|44
226|2788|44
227|1189|44
228|3981|44
229|8165|44
230|4026|44
231|9335|44
232|3191|45
233|8395|45
234|2602|45
235|6510|45
236|9200|45
237|7170|45
238|7725|45
239|9137|45
240|3268|45
241|4983|45
242|7088|46
243|3177|46
244|7020|46
245|3403|46
246|3633|46
247|3854|46
248|1003|46
249|9139|46
250|8345|47
251|533|47
252|9193|47
253|932|47
254|5892|47
255|4393|47
256|7874|47
257|8180|47
258|9328|47
259|5223|48
260|2115|48
261|7048|48
262|4890|48
263|7080|48
264|7089|48
265|3851|49
266|1909|49
267|1934|49
268|1811|49
269|5424|49
270|815|49
271|7288|50
272|45|50
273|7332|51
274|3077|51
275|3095|51
276|3182|52
277|6438|52
278|2366|52
279|4061|52
280|9597|52
281|2141|52
282|8746|52
283|3525|52
284|7370|53
285|6008|53
286|5899|53
287|725|53
288|3169|54
289|2934|54
290|6192|54
291|8411|54
292|6259|54
293|6025|54
294|4526|55
295|5318|55
296|9629|55
297|3508|55
298|7095|55
299|7096|55
300|55|55
301|7283|56
302|6653|56
303|4992|56
304|6486|56
305|4685|56
306|4431|57
307|4725|57
308|2799|57
309|2895|57
310|7159|58
311|9095|58
312|898|58
313|3647|58
314|6091|58
315|716|58
316|3936|58
317|7856|58
318|817|58
319|437|58
320|4830|59
321|3840|59
322|5514|59
323|1781|59
324|2514|59
325|4976|59
326|261|59
327|2590|59
328|9899|59
329|3389|59
330|5806|60
331|8497|60
332|2760|60
333|614|60
334|1400|60
335|1298|60
336|922|60
337|7943|60
338|8301|61
339|2262|61
340|9933|62
341|2081|62
342|1594|62
343|9303|62
344|1377|62
345|7064|62
346|9943|62
347|6493|62
348|918|62
349|3627|62
350|2438|63
351|415|63
352|7606|63
353|4829|63
354|3686|63
355|7786|63
356|8561|63
357|6124|64
358|5054|64
359|6149|64
360|2106|64
361|9871|65
362|9875|65
363|1656|65
364|9370|65
365|6136|65
366|9933|66
367|4140|66
368|8249|66
369|6656|66
370|7843|66
371|1892|66
372|5707|66
373|8962|66
374|8740|67
375|8886|67
376|9136|67
377|4994|68
378|5084|68
379|8592|68
380|1679|68
381|9685|68
382|2064|68
383|9795|69
384|9615|69
385|7810|69
386|5373|69
387|3718|70
388|9426|70
389|6421|70
390|770|70
391|8941|70
392|4422|71
393|6790|71
394|212|71
395|4144|72
396|7740|72
397|9891|72
398|5337|72
399|9189|72
400|1628|72
401|4134|72
402|3438|72
403|7025|72
404|4292|73
405|3485|73
406|8839|73
407|6473|73
408|7765|73
409|2595|73
410|3077|73
411|3284|73
412|5772|73
413|7912|74
414|6839|74
415|162|74
416|4943|74
417|4055|75
418|8743|75
419|5669|75
420|2569|75
421|2908|75
422|2298|75
423|2640|75
424|4308|75
425|494|75
426|3781|75
427|8190|76
428|7930|77
429|4103|77
430|609|77
431|9319|77
432|7373|77
433|8046|77
434|370|77
435|9576|77
436|7981|78
437|8654|79
438|7939|79
439|690|79
440|9776|79
441|6817|79
442|9458|79
443|6107|79
444|5615|79
445|1691|80
446|612|81
447|5443|82
448|911|82
449|7498|82
450|7161|82
451|3952|82
452|3919|82
453|3090|83
454|5945|83
455|4607|83
456|5113|83
457|5808|83
458|9103|83
459|8362|84
460|1091|84
461|8929|85
462|4862|86
463|2522|86
464|5880|86
465|3648|86
466|702|86
467|7727|86
468|5140|87
469|490|87
470|77|88
471|7106|88
472|7473|88
473|5088|88
474|2576|88
475|60|88
476|4492|88
477|955|88
478|7427|89
479|8787|89
480|6414|89
481|9312|89
482|396|89
483|8412|89
484|8480|89
485|4308|89
486|3975|89
487|7692|90
488|5946|90
489|5133|90
490|4422|91
491|3583|91
492|2747|91
493|9970|91
494|305|91
495|3408|91
496|5779|91
497|8520|91
498|52|91
499|1660|91
500|226|92
501|9526|92
502|4270|92
503|6751|92
504|5895|92
505|5671|92
506|5930|92
507|1927|93
508|6840|93
509|2015|94
510|8272|94
511|8665|94
512|2676|94
513|5345|94
514|1956|94
515|1963|94
516|6568|94
517|356|94
518|7208|94
519|8005|95
520|4339|95
521|4885|95
522|1753|95
523|5534|95
524|4028|95
525|7617|95
526|1999|96
527|569|96
528|8868|96
529|6279|96
530|4541|96
531|5393|96
532|546|97
533|1766|97
534|7046|97
535|5950|98
536|3070|98
537|2387|98
538|4955|98
539|620|98
540|7738|98
541|6920|98
542|3634|98
543|7151|99
544|5455|99
545|4856|99
546|2484|99
547|3183|99
548|9911|99
549|5936|99
550|605|100
551|9954|100
552|1398|100
553|9069|100
554|543|101
555|1857|101
556|5573|101
557|5378|101
558|9805|102
559|8476|102
560|4768|102
561|304|102
562|235|102
563|4365|102
564|7390|102
565|9265|102
566|4617|103
567|4504|103
568|6330|103
569|2542|103
570|1135|103
571|95|104
572|8997|104
573|6408|104
574|134|104
575|2556|104
576|7827|104
577|1003|104
578|3561|104
579|8050|104
580|9776|104
581|4549|105
582|821|105
583|2283|105
584|6852|105
585|6659|105
586|2520|106
587|7481|106
588|2798|106
589|2894|106
590|222|106
591|6873|107
592|890|108
593|7255|108
594|2162|108
595|345|108
596|5327|109
597|3240|109
598|3153|109
599|9600|110
600|5395|110
601|2746|110
602|7110|110
603|6761|110
604|1546|110
605|256|111
606|9965|111
607|284|111
608|8952|112
609|7293|113
610|432|113
611|9608|113
612|7026|113
613|1963|113
614|9511|113
615|1647|113
616|8446|113
617|8612|114
618|4376|115
619|6571|115
620|6198|115
621|7077|115
622|4495|115
623|2295|115
624|5008|115
625|1478|115
626|2040|115
627|4597|115
628|3390|116
629|3662|116
630|7605|116
631|6938|116
632|4823|116
633|6097|116
634|8195|117
635|7588|117
636|1405|117
637|4174|117
638|2084|117
639|554|117
640|50|117
641|5702|118
642|5877|118
643|656|118
644|1920|118
645|6588|118
646|7243|118
647|6056|118
648|5029|118
649|1034|118
650|7335|119
651|2091|119
652|8530|119
653|178|119
654|1243|119
655|896|119
656|88|119
657|3210|119
658|9442|120
659|67|120
660|7813|120
661|1721|120
662|9979|120
663|7835|121
664|627|121
665|5092|121
666|5186|121
667|1601|121
668|9800|122
669|3745|122
670|7670|122
671|8473|122
672|4847|122
673|7914|122
674|1962|122
675|7733|122
676|8674|123
677|745|124
678|9835|124
679|8157|124
680|5626|124
681|5451|124
682|2569|124
683|119|124
684|2546|124
685|4542|124
686|279|124
687|1994|125
688|4027|125
689|4027|125
690|6997|125
691|9232|125
692|1815|125
693|1749|125
694|283|125
695|2821|125
696|7911|126
697|2732|126
698|1097|126
699|7506|126
700|5200|126
701|9976|126
702|4808|126
703|1995|126
704|2546|127
705|7587|127
706|1725|127
707|333|127
708|5559|127
709|4434|128
710|7348|128
711|2002|128
712|9241|128
713|5249|128
714|8209|128
715|4296|128
716|4594|128
717|3376|128
718|7375|129
719|4032|129
720|1647|129
721|917|129
722|7010|129
723|4135|129
724|3498|129
725|8509|129
726|1810|130
727|2402|130
728|8713|130
729|915|130
730|8233|130
731|6524|130
732|8819|130
733|5163|130
734|8095|131
735|3420|131
736|1913|131
737|8201|131
738|908|131
739|4076|131
740|2009|131
741|7377|131
742|8683|131
743|9440|131
744|5617|132
745|1821|132
746|7206|132
747|2828|132
748|9229|132
749|2198|132
750|5115|132
751|3348|133
752|8238|133
753|740|133
754|4503|133
755|5792|133
756|1663|133
757|3413|133
758|9957|133
759|5973|133
760|7334|134
761|4477|134
762|1874|134
763|6071|134
764|4122|134
765|6688|134
766|2113|135
767|4560|135
768|8957|135
769|7982|136
770|2313|137
771|6804|137
772|904|137
773|8730|137
774|8752|137
775|3311|137
776|2507|137
777|3317|138
778|2511|138
779|5600|138
780|1713|138
781|7800|138
782|1905|138
783|9680|138
784|6257|138
785|2273|138
786|3933|139
787|3512|139
788|9210|139
789|9917|139
790|6543|139
791|3577|139
792|3414|139
793|8972|139
794|7020|140
795|7851|140
796|1228|141
797|1064|141
798|4003|141
799|4301|141
800|6240|141
801|8759|141
802|3804|142
803|7963|142
804|4800|142
805|1083|142
806|633|142
807|5378|142
808|6449|142
809|242|142
810|1775|142
811|7003|142
812|3376|143
813|3748|143
814|279|143
815|6548|143
816|3771|143
817|8103|143
818|8883|144
819|1518|144
820|8397|144
821|432|144
822|4049|144
823|7057|144
824|5316|144
825|1920|145
826|6376|145
827|503|145
828|8715|145
829|3137|145
830|8956|145
831|4056|145
832|2770|145
833|1738|146
834|3474|147
835|670|147
836|5545|147
837|8275|147
838|3113|147
839|98|147
840|4631|147
841|8879|148
842|2442|148
843|239|148
844|2044|148
845|1585|148
846|2854|149
847|7084|149
848|1786|149
849|7126|150
850|9978|150
851|7192|150
852|69|150
853|9364|150
854|4155|150
855|8198|150
856|8737|150
857|7497|150
858|3826|150
859|2754|151
860|5076|151
861|8752|152
862|2672|152
863|8426|153
864|9314|153
865|2222|153
866|970|153
867|228|153
868|2020|153
869|2126|153
870|8993|153
871|3110|154
872|3742|154
873|9921|154
874|8261|154
875|5265|154
876|8118|154
877|3702|154
878|1028|154
879|4936|154
880|502|154
881|9178|155
882|7282|156
883|2573|156
884|7773|156
885|6065|156
886|5570|156
887|8020|156
888|3653|156
889|5262|157
890|9822|157
891|7980|157
892|442|157
893|6138|157
894|8356|157
895|3564|157
896|270|157
897|9720|158
898|3809|158
899|5907|158
900|2303|158
901|6701|159
902|5877|159
903|884|159
904|6159|159
905|4234|159
906|2504|160
907|4625|161
908|6654|161
909|8990|162
910|6340|162
911|5298|162
912|2222|162
913|5635|162
914|9249|162
915|6972|163
916|8464|163
917|8105|163
918|9955|163
919|4233|163
920|228|163
921|2275|163
922|826|163
923|5341|164
924|871|164
925|6507|164
926|79|164
927|2386|164
928|4917|164
929|2981|164
930|7162|164
931|8512|164
932|7537|164
933|3136|165
934|5346|165
935|8799|165
936|8829|165
937|6338|166
938|5596|166
939|3095|166
940|6059|166
941|9152|166
942|3686|166
943|4076|166
944|27|166
945|631|166
946|2424|167
947|2241|167
948|2536|167
949|4039|167
950|3452|168
951|8155|168
952|5324|168
953|9316|168
954|2909|168
955|3488|168
956|9703|169
957|1074|169
958|815|169
959|1244|169
960|8852|169
961|4458|169
962|6525|170
963|1438|170
964|2353|170
965|2195|170
966|2519|170
967|1859|170
968|3023|170
969|1647|170
970|7591|171
971|2090|171
972|7292|171
973|1924|171
974|7253|171
975|4158|172
976|8068|172
977|2869|172
978|1962|172
979|4592|172
980|5319|172
981|2191|173
982|7600|174
983|5150|174
984|4038|174
985|342|174
986|9050|174
987|1993|174
988|9312|174
989|1681|174
990|2568|175
991|8767|175
992|8166|175
993|3113|175
994|4534|175
995|8277|175
996|290|175
997|2382|175
998|3282|175
999|4251|175
1000|9163|176
1001|3384|176
1002|4325|176
1003|6467|176
1004|923|177
1005|7074|177
1006|2864|177
1007|7867|177
1008|7786|178
1009|1299|178
1010|8262|178
1011|6517|178
1012|2654|179
1013|2439|179
1014|8956|179
1015|8852|179
1016|2897|180
1017|3157|180
1018|6800|180
1019|7423|180
1020|2277|180
1021|1019|180
1022|9340|181
1023|889|182
1024|7994|182
1025|8326|182
1026|4529|182
1027|5925|182
1028|7760|182
1029|7629|182
1030|8275|182
1031|4546|183
1032|585|183
1033|898|183
1034|9211|183
1035|9770|183
1036|2067|184
1037|9646|184
1038|8437|184
1039|1117|184
1040|3877|184
1041|9832|184
1042|7733|184
1043|8943|185
1044|2225|185
1045|5518|185
1046|4537|185
1047|9266|185
1048|2001|185
1049|6161|185
1050|2589|186
1051|7266|186
1052|8930|186
1053|6462|186
1054|7009|186
1055|795|187
1056|7717|187
1057|4170|188
1058|5647|188
1059|8433|188
1060|5826|188
1061|8972|188
1062|5359|189
1063|1153|189
1064|2461|189
1065|4035|189
1066|6159|189
1067|3386|189
1068|6044|189
1069|7089|189
1070|607|189
1071|8490|190
1072|9543|190
1073|5331|190
1074|9637|190
1075|9955|190
1076|4025|190
1077|4662|190
1078|8060|190
1079|7988|190
1080|904|190
1081|9547|191
1082|3702|191
1083|1037|191
1084|9231|191
1085|65|191
1086|5084|192
1087|2088|193
1088|5498|193
1089|6393|193
1090|2996|193
1091|6901|193
1092|9793|193
1093|7571|193
1094|2500|193
1095|3867|194
1096|6930|195
1097|8656|195
1098|9988|195
1099|3374|195
1100|2628|195
1101|6948|195
1102|8285|195
1103|7245|195
1104|4805|195
1105|718|196
1106|6342|196
1107|8804|196
1108|6313|196
1109|7493|196
1110|7416|196
1111|6279|196
1112|5694|196
1113|3350|197
1114|2122|197
1115|9832|197
1116|3742|197
1117|6581|197
1118|1798|197
1119|8667|197
1120|7420|198
1121|4036|198
1122|403|198
1123|7735|199
1124|9634|199
1125|3483|199
1126|3301|199
1127|9809|199
1128|4959|200
1129|6540|200
1130|8774|200
1131|60|200
1132|8015|200
1133|1083|200
1134|6119|200
1135|5710|200
1136|6619|200
1137|5420|200
1138|2298|201
1139|8558|201
1140|6796|201
1141|7389|201
1142|8479|201
1143|1594|201
1144|8167|202
1145|7814|202
1146|3388|202
1147|1185|202
1148|3136|202
1149|241|203
1150|5711|203
1151|1995|203
1152|7524|203
1153|6873|203
1154|7340|203
1155|3798|203
1156|698|203
1157|1403|203
1158|6347|204
1159|223|204
1160|8779|204
1161|5804|204
1162|8496|204
1163|3124|204
1164|8616|204
1165|5866|204
1166|314|204
1167|6203|205
1168|7775|205
1169|3782|205
1170|7404|205
1171|3036|205
1172|6599|205
1173|2252|205
1174|6525|205
1175|7864|206
1176|9668|206
1177|8385|206
1178|9306|206
1179|8058|206
1180|8489|207
1181|2585|207
1182|5163|208
1183|1956|208
1184|7729|208
1185|3286|209
1186|2631|209
1187|8604|209
1188|3436|209
1189|6338|209
1190|3435|210
1191|7248|210
1192|5594|210
1193|258|210
1194|3565|210
1195|7515|210
1196|6149|210
1197|7083|211
1198|240|211
1199|3114|211
1200|5586|212
1201|369|212
1202|2716|212
1203|7563|212
1204|7280|212
1205|383|212
1206|1019|213
1207|9997|213
1208|274|213
1209|3373|213
1210|4186|213
1211|9920|213
1212|6640|213
1213|2455|213
1214|9870|213
1215|8439|214
1216|7379|214
1217|5482|214
1218|3308|214
1219|4181|214
1220|1676|214
1221|9830|215
1222|4991|215
1223|5415|215
1224|9137|215
1225|8752|215
1226|1250|215
1227|3761|215
1228|6191|216
1229|2177|216
1230|3889|217
1231|8304|218
1232|6755|218
1233|2822|218
1234|3328|218
1235|5888|218
1236|375|218
1237|7430|218
1238|3475|218
1239|7402|218
1240|6297|219
1241|6332|219
1242|5454|219
1243|183|219
1244|4020|219
1245|5550|219
1246|9486|219
1247|9716|219
1248|5152|219
1249|1779|219
1250|685|220
1251|5684|220
1252|2624|220
1253|4130|220
1254|1316|221
1255|4372|221
1256|4730|221
1257|9388|221
1258|4918|221
1259|3669|221
1260|6185|221
1261|5278|221
1262|5141|222
1263|7249|222
1264|5609|222
1265|5079|222
1266|1568|223
1267|3164|223
1268|7184|223
1269|3644|223
1270|3187|223
1271|6683|223
1272|9967|223
1273|4638|224
1274|7290|224
1275|5120|224
1276|366|224
1277|1555|224
1278|5668|225
1279|1629|225
1280|9804|225
1281|2975|225
1282|3651|225
1283|3814|225
1284|9713|225
1285|8654|225
1286|2983|225
1287|9778|226
1288|5667|226
1289|9708|227
1290|626|227
1291|4480|227
1292|4864|227
1293|9147|227
1294|5599|227
1295|1557|227
1296|6058|227
1297|2198|227
1298|8633|228
1299|8043|228
1300|1651|228
1301|631|228
1302|2040|228
1303|5688|228
1304|8330|228
1305|9488|228
1306|9901|228
1307|2565|229
1308|4269|230
1309|9677|230
1310|6208|230
1311|9001|230
1312|6801|230
1313|1066|230
1314|6107|230
1315|543|230
1316|7192|231
1317|1430|231
1318|1663|231
1319|689|231
1320|5752|231
1321|3113|231
1322|4592|231
1323|9715|232
1324|7746|232
1325|1207|232
1326|5050|232
1327|3968|232
1328|6032|232
1329|2275|232
1330|223|232
1331|6254|232
1332|6671|232
1333|7308|233
1334|7733|233
1335|8990|233
1336|1034|234
1337|5684|234
1338|2008|234
1339|4649|234
1340|7238|234
1341|8318|235
1342|4792|236
1343|2284|236
1344|2537|236
1345|9833|236
1346|3335|236
1347|6171|236
1348|2933|236
1349|7979|237
1350|3389|237
1351|3695|237
1352|4020|237
1353|9021|237
1354|4977|237
1355|9859|238
1356|2577|238
1357|8349|238
1358|773|238
1359|1356|238
1360|6778|239
1361|5708|239
1362|514|239
1363|9651|239
1364|134|239
1365|8558|239
1366|8062|239
1367|786|239
1368|7114|239
1369|6252|240
1370|4188|240
1371|9333|240
1372|2458|240
1373|4663|240
1374|2066|241
1375|7691|241
1376|2615|241
1377|4484|241
1378|7984|241
1379|9380|241
1380|9175|241
1381|365|241
1382|9740|242
1383|9721|242
1384|9812|242
1385|2004|242
1386|9947|242
1387|9364|242
1388|4058|243
1389|8788|243
1390|1422|243
1391|6969|243
1392|539|243
1393|8625|243
1394|9744|244
1395|4622|245
1396|9872|246
1397|822|246
1398|6743|246
1399|6020|247
1400|9678|247
1401|5522|247
1402|9721|247
1403|3394|248
1404|2515|248
1405|4844|248
1406|8063|248
1407|2977|249
1408|5005|249
1409|4566|249
1410|9689|249
1411|1434|249
1412|804|249
1413|2515|249
1414|2532|249
1415|8885|249
1416|1319|250
1417|5613|251
1418|3681|251
1419|8062|251
1420|1441|251
1421|691|251
1422|5218|251
1423|1084|251
1424|8678|251
1425|3473|252
1426|6556|253
1427|4867|253
1428|2556|253
1429|9094|253
1430|3839|253
1431|6087|253
1432|609|253
1433|7584|254
1434|1303|254
1435|5567|254
1436|1878|254
1437|4142|254
1438|1814|254
1439|7713|254
1440|6968|254
1441|5907|254
1442|9828|255
1443|7590|255
1444|8039|255
1445|2573|256
1446|2580|256
1447|8016|257
1448|8290|257
1449|10|258
1450|5737|258
1451|1122|258
1452|9329|258
1453|7981|258
1454|115|258
1455|1855|258
1456|5468|258
1457|5554|259
1458|6397|259
1459|9220|259
1460|6237|259
1461|1207|259
1462|5932|259
1463|9459|259
1464|7618|260
1465|2799|260
1466|580|260
1467|7304|260
1468|8014|261
1469|9967|261
1470|9200|261
1471|2389|262
1472|3136|262
1473|9069|262
1474|2119|262
1475|3498|262
1476|6102|263
1477|2365|264
1478|278|264
1479|6856|264
1480|7165|264
1481|2648|264
1482|9547|264
1483|9502|264
1484|8554|264
1485|7994|264
1486|8150|265
1487|6941|265
1488|8143|265
1489|2043|265
1490|7200|266
1491|9703|266
1492|8907|266
1493|9838|266
1494|5579|266
1495|6767|266
1496|4469|267
1497|6774|267
1498|7771|267
1499|4600|267
1500|7747|267
1501|9261|267
1502|90|267
1503|9248|267
1504|7671|267
1505|1498|267
1506|7811|268
1507|2804|268
1508|803|268
1509|3589|269
1510|6693|269
1511|4094|269
1512|4781|269
1513|4760|269
1514|8086|269
1515|7472|269
1516|4751|270
1517|9733|270
1518|195|270
1519|537|270
1520|3778|270
1521|6637|270
1522|1761|270
1523|2193|271
1524|4800|271
1525|4224|271
1526|1214|271
1527|9918|271
1528|320|271
1529|5016|272
1530|832|272
1531|3557|272
1532|2710|272
1533|1930|272
1534|3986|273
1535|2412|273
1536|1972|273
1537|6213|274
1538|684|274
1539|3071|275
1540|7822|275
1541|7252|275
1542|4538|275
1543|5088|275
1544|7695|275
1545|7486|275
1546|5859|275
1547|6494|275
1548|6604|275
1549|526|276
1550|3938|276
1551|9900|276
1552|1649|276
1553|2286|276
1554|5743|276
1555|2475|276
1556|3179|276
1557|6726|276
1558|5364|276
1559|7034|277
1560|6372|277
1561|1169|277
1562|9908|277
1563|4210|278
1564|425|278
1565|2018|278
1566|9502|278
1567|5398|278
1568|1173|278
1569|860|278
1570|471|278
1571|1008|278
1572|6243|278
1573|3977|279
1574|4813|279
1575|5916|279
1576|9000|279
1577|7901|279
1578|8|279
1579|2241|280
1580|8433|280
1581|7851|280
1582|4260|280
1583|3799|280
1584|7566|280
1585|1524|280
1586|6816|280
1587|6280|281
1588|6910|281
1589|5952|282
1590|3202|282
1591|6531|282
1592|4935|282
1593|3860|282
1594|6542|282
1595|2114|283
1596|5253|283
1597|7426|283
1598|9116|283
1599|3700|283
1600|127|283
1601|3973|283
1602|1563|284
1603|8759|285
1604|3974|285
1605|3388|285
1606|3726|285
1607|9564|285
1608|5798|285
1609|9230|285
1610|729|285
1611|3642|286
1612|4352|286
1613|2010|286
1614|7941|286
1615|4540|287
1616|3172|287
1617|4951|287
1618|6032|288
1619|534|288
1620|7469|288
1621|9438|288
1622|5296|288
1623|411|289
1624|8944|289
1625|9411|289
1626|3729|289
1627|1142|290
1628|3608|290
1629|7589|290
1630|2802|290
1631|2186|290
1632|8732|290
1633|3593|290
1634|604|290
1635|545|291
1636|2770|291
1637|425|291
1638|6779|291
1639|1129|291
1640|1327|291
1641|4836|291
1642|2123|291
1643|5707|291
1644|7441|291
1645|2068|292
1646|7910|292
1647|2122|292
1648|2346|292
1649|7814|293
1650|2914|293
1651|5284|293
1652|5214|293
1653|8092|294
1654|9378|294
1655|2582|294
1656|8008|294
1657|2578|294
1658|5162|294
1659|4749|295
1660|1300|295
1661|8915|295
1662|6116|295
1663|971|295
1664|2409|295
1665|4857|295
1666|9385|295
1667|472|295
1668|3438|296
1669|8972|296
1670|99|296
1671|9524|296
1672|7404|297
1673|2447|298
1674|9918|298
1675|8611|298
1676|8726|298
1677|6840|298
1678|7325|298
1679|7223|299
1680|9489|299
1681|5|299
1682|986|299
1683|9799|299
1684|5220|299
1685|4119|299
1686|4224|300
1687|1487|300
1688|1069|300
1689|1068|300
1690|1615|301
1691|5728|301
1692|518|301
1693|3811|301
1694|4495|302
1695|1053|302
1696|9629|302
1697|5602|302
1698|2250|302
1699|9317|302
1700|8247|302
1701|533|303
1702|4687|303
1703|8237|303
1704|1659|303
1705|4846|303
1706|84|304
1707|9298|304
1708|7546|304
1709|2406|304
1710|3567|304
1711|264|304
1712|5363|304
1713|7181|304
1714|1745|304
1715|8249|305
1716|3436|306
1717|6398|306
1718|7504|306
1719|4592|306
1720|4196|307
1721|4827|307
1722|7687|307
1723|9575|307
1724|6380|307
1725|6469|307
1726|5097|307
1727|7563|307
1728|6125|308
1729|8943|308
1730|8402|308
1731|7795|309
1732|3771|309
1733|4313|309
1734|25|309
1735|1363|309
1736|4437|309
1737|6850|309
1738|842|309
1739|9013|310
1740|3656|310
1741|5482|310
1742|5484|310
1743|4095|310
1744|7039|310
1745|3256|311
1746|8016|311
1747|6264|311
1748|5652|311
1749|3269|311
1750|7795|311
1751|9890|311
1752|5171|311
1753|6970|311
1754|2748|312
1755|5523|312
1756|2603|312
1757|7831|312
1758|7260|312
1759|6725|312
1760|5762|312
1761|4807|312
1762|3111|312
1763|1956|312
1764|9828|313
1765|4570|313
1766|6018|313
1767|330|313
1768|4090|313
1769|336|313
1770|4154|313
1771|6462|314
1772|6657|315
1773|9143|315
1774|4732|315
1775|2687|315
1776|3990|315
1777|449|315
1778|1652|315
1779|644|315
1780|3366|315
1781|8166|316
1782|1162|317
1783|7523|317
1784|185|317
1785|7950|317
1786|7129|317
1787|6378|317
1788|8883|317
1789|2|317
1790|2043|317
1791|5692|317
1792|5440|318
1793|8002|318
1794|3734|318
1795|3169|318
1796|9864|318
1797|2655|318
1798|4744|318
1799|8225|318
1800|1964|318
1801|891|319
1802|6386|319
1803|1576|319
1804|3299|319
1805|6482|319
1806|7741|320
1807|1874|320
1808|5856|320
1809|7994|320
1810|2653|320
1811|7081|320
1812|8583|321
1813|5186|321
1814|3992|321
1815|3402|321
1816|9350|321
1817|9191|321
1818|8815|321
1819|8345|321
1820|4982|321
1821|94|322
1822|2813|322
1823|4863|322
1824|6673|322
1825|9136|322
1826|3054|322
1827|1795|322
1828|4092|322
1829|3207|322
1830|5108|323
1831|6016|324
1832|2710|324
1833|5826|324
1834|5117|324
1835|8307|325
1836|6239|326
1837|1456|326
1838|3652|326
1839|3947|326
1840|4050|326
1841|5719|326
1842|8039|326
1843|8849|326
1844|1986|326
1845|7823|327
1846|7826|327
1847|2409|327
1848|9425|327
1849|6303|327
1850|7087|327
1851|7203|327
1852|4762|327
1853|4985|328
1854|761|328
1855|9171|328
1856|4349|328
1857|5080|329
1858|5353|330
1859|3623|330
1860|3462|330
1861|8378|330
1862|801|330
1863|2146|330
1864|1931|330
1865|2114|330
1866|2481|330
1867|7582|330
1868|7903|331
1869|4551|331
1870|4109|331
1871|7704|331
1872|1746|331
1873|3654|331
1874|3851|331
1875|6786|331
1876|6908|331
1877|915|332
1878|9911|332
1879|3384|332
1880|3389|332
1881|9492|332
1882|12|332
1883|1117|332
1884|5856|332
1885|5061|333
1886|4661|333
1887|9095|333
1888|6812|333
1889|7355|333
1890|120|333
1891|2827|333
1892|66|334
